"LOCATION";"PR_LOCATION";"SYSTEM";"LOCATIONCODE";"PARENT";"DESCRIPTION";"TYPE";"STE_MIGRATIONID";"STE_MIGRATIONSOURCE";"ID"
L100000017283;;TRAIN;RTVV17/SD;RTVV17;;TRAIN;17184;FILE;119
L100000017287;;TRAIN;RTVV17/UC;RTVV17;;TRAIN;17188;FILE;120
L100000017292;;TRAIN;RTVV18/RF;RTVV18;;TRAIN;17193;FILE;121
L100000017294;;TRAIN;RTVV18/SA;RTVV18;;TRAIN;17195;FILE;122
L100000017298;;TRAIN;RTVV18/SD;RTVV18;;TRAIN;17199;FILE;123
L100000017302;;TRAIN;RTVV18/UC;RTVV18;;TRAIN;17203;FILE;124
L100000017307;;TRAIN;RTVV19/RF;RTVV19;;TRAIN;17208;FILE;125
L100000017309;;TRAIN;RTVV19/SA;RTVV19;;TRAIN;17210;FILE;126
L100000017313;;TRAIN;RTVV19/SD;RTVV19;;TRAIN;17214;FILE;127
L100000017317;;TRAIN;RTVV19/UC;RTVV19;;TRAIN;17218;FILE;128
L100000017322;;TRAIN;RTVV20/RF;RTVV20;;TRAIN;17223;FILE;129
L100000017324;;TRAIN;RTVV20/SA;RTVV20;;TRAIN;17225;FILE;130
L100000017328;;TRAIN;RTVV20/SD;RTVV20;;TRAIN;17229;FILE;131
L100000017332;;TRAIN;RTVV20/UC;RTVV20;;TRAIN;17233;FILE;132
L100000017337;;TRAIN;RTVV21/RF;RTVV21;;TRAIN;17238;FILE;133
L100000017339;;TRAIN;RTVV21/SA;RTVV21;;TRAIN;17240;FILE;134
L100000017343;;TRAIN;RTVV21/SD;RTVV21;;TRAIN;17244;FILE;135
L100000017347;;TRAIN;RTVV21/UC;RTVV21;;TRAIN;17248;FILE;136
L100000017352;;TRAIN;RTVV22/RF;RTVV22;;TRAIN;17253;FILE;137
L100000017354;;TRAIN;RTVV22/SA;RTVV22;;TRAIN;17255;FILE;138
L100000017358;;TRAIN;RTVV22/SD;RTVV22;;TRAIN;17259;FILE;139
L100000017362;;TRAIN;RTVV22/UC;RTVV22;;TRAIN;17263;FILE;140
L100000017367;;TRAIN;RTVV23/RF;RTVV23;;TRAIN;17268;FILE;141
L100000017369;;TRAIN;RTVV23/SA;RTVV23;;TRAIN;17270;FILE;142
L100000017373;;TRAIN;RTVV23/SD;RTVV23;;TRAIN;17274;FILE;143
L100000017377;;TRAIN;RTVV23/UC;RTVV23;;TRAIN;17278;FILE;144
L100000017382;;TRAIN;RTVV24/RF;RTVV24;;TRAIN;17283;FILE;145
L100000017384;;TRAIN;RTVV24/SA;RTVV24;;TRAIN;17285;FILE;146
L100000017388;;TRAIN;RTVV24/SD;RTVV24;;TRAIN;17289;FILE;147
L100000017392;;TRAIN;RTVV24/UC;RTVV24;;TRAIN;17293;FILE;148
L100000017397;;TRAIN;RTVV25/RF;RTVV25;;TRAIN;17298;FILE;149
L100000017399;;TRAIN;RTVV25/SA;RTVV25;;TRAIN;17300;FILE;150
L100000017403;;TRAIN;RTVV25/SD;RTVV25;;TRAIN;17304;FILE;151
L100000017407;;TRAIN;RTVV25/UC;RTVV25;;TRAIN;17308;FILE;152
L100000017412;;TRAIN;RTVV26/RF;RTVV26;;TRAIN;17313;FILE;153
L100000017414;;TRAIN;RTVV26/SA;RTVV26;;TRAIN;17315;FILE;154
L100000017418;;TRAIN;RTVV26/SD;RTVV26;;TRAIN;17319;FILE;155
L100000017422;;TRAIN;RTVV26/UC;RTVV26;;TRAIN;17323;FILE;156
L100000017427;;TRAIN;RTVV27/RF;RTVV27;;TRAIN;17328;FILE;157
L100000017429;;TRAIN;RTVV27/SA;RTVV27;;TRAIN;17330;FILE;158
L100000017433;;TRAIN;RTVV27/SD;RTVV27;;TRAIN;17334;FILE;159
L100000017437;;TRAIN;RTVV27/UC;RTVV27;;TRAIN;17338;FILE;160
L100000017442;;TRAIN;RTVV28/RF;RTVV28;;TRAIN;17343;FILE;161
L100000017444;;TRAIN;RTVV28/SA;RTVV28;;TRAIN;17345;FILE;162
L100000017448;;TRAIN;RTVV28/SD;RTVV28;;TRAIN;17349;FILE;163
L100000017452;;TRAIN;RTVV28/UC;RTVV28;;TRAIN;17353;FILE;164
L100000017457;;TRAIN;RTVV29/RF;RTVV29;;TRAIN;17358;FILE;165
L100000017459;;TRAIN;RTVV29/SA;RTVV29;;TRAIN;17360;FILE;166
L100000017463;;TRAIN;RTVV29/SD;RTVV29;;TRAIN;17364;FILE;167
L100000017467;;TRAIN;RTVV29/UC;RTVV29;;TRAIN;17368;FILE;168
L100000017472;;TRAIN;RTVV30/RF;RTVV30;;TRAIN;17373;FILE;169
L100000017474;;TRAIN;RTVV30/SA;RTVV30;;TRAIN;17375;FILE;170
L100000017478;;TRAIN;RTVV30/SD;RTVV30;;TRAIN;17379;FILE;171
L100000017482;;TRAIN;RTVV30/UC;RTVV30;;TRAIN;17383;FILE;172
L100000017487;;TRAIN;RTVV31/RF;RTVV31;;TRAIN;17388;FILE;173
L100000017489;;TRAIN;RTVV31/SA;RTVV31;;TRAIN;17390;FILE;174
L100000017493;;TRAIN;RTVV31/SD;RTVV31;;TRAIN;17394;FILE;175
L100000017497;;TRAIN;RTVV31/UC;RTVV31;;TRAIN;17398;FILE;176
L100000017502;;TRAIN;RTVV32/RF;RTVV32;;TRAIN;17403;FILE;177
L100000017504;;TRAIN;RTVV32/SA;RTVV32;;TRAIN;17405;FILE;178
