ID;PACKAGE_NAME;LOG_ID;EVENT;EVENT_TYPE;EVENT_DESCRIPTION;TIMESTAMP
1542;DB2_0405_WO_SR_CLEAN;1114;SR;NOMATCH-COSTCENTER;CNT= 0;2024-12-20-04.16.32.499000
1547;DB2_0405_WO_SR_CLEAN;1114;SR;MIGRATED;CNT=692904;2024-12-20-04.21.38.574000
1549;DB2_0406_WO_FailureReport_CLEAN;1127;DEFECT;NOMATCH-WORKORDER;CNT=0;2024-12-20-04.25.25.915000
1550;DB2_0406_WO_FailureReport_CLEAN;1127;DEFECT;NOMATCH-FAILURECLASS;CNT=0;2024-12-20-04.25.25.997000
1551;DB2_0406_WO_FailureReport_CLEAN;1127;DEFECT;NOMATCH-FAILURECODE-PROBLEM;CNT=0;2024-12-20-04.25.26.045000
1552;DB2_0406_WO_FailureReport_CLEAN;1127;DEFECT;MIGRATED;CNT=171312;2024-12-20-04.25.26.076000
1554;DB2_0406_WO_FailureReport_CLEAN;1127;CAUSE;NOMATCH-WORKORDER;CNT=0;2024-12-20-04.29.30.697000
1555;DB2_0406_WO_FailureReport_CLEAN;1127;CAUSE;NOMATCH-FAILURECLASS;CNT=0;2024-12-20-04.29.30.761000
1556;DB2_0406_WO_FailureReport_CLEAN;1127;CAUSE;NOMATCH-FAILURECODE-PROBLEM;CNT=0;2024-12-20-04.29.30.872000
1557;DB2_0406_WO_FailureReport_CLEAN;1127;CAUSE;MIGRATED;CNT=163718;2024-12-20-04.29.30.944000
1558;DB2_0406_WO_FailureReport_CLEAN;1127;CAUSE;NOMATCH-FAILURECODE-CAUSE;CNT=0;2024-12-20-04.29.30.951000
1564;DB2_0406_WO_FailureReport_CLEAN;1127;CAUSE;NOMATCH-WORKORDER;CNT=0;2024-12-20-04.34.11.080000
1565;DB2_0406_WO_FailureReport_CLEAN;1127;ACTION;NOMATCH-FAILURECLASS;CNT=0;2024-12-20-04.34.11.143000
1566;DB2_0406_WO_FailureReport_CLEAN;1127;ACTION;NOMATCH-FAILURECODE-PROBLEM;CNT=0;2024-12-20-04.34.11.284000
1567;DB2_0406_WO_FailureReport_CLEAN;1127;ACTION;NOMATCH-FAILURECODE-CAUSE;CNT=0;2024-12-20-04.34.11.331000
1568;DB2_0406_WO_FailureReport_CLEAN;1127;ACTION;MIGRATED;CNT=183013;2024-12-20-04.34.11.410000
1569;DB2_0406_WO_FailureReport_CLEAN;1127;ACTION;NOMATCH-FAILURECODE-ACTION;CNT=0;2024-12-20-04.34.11.410000
1572;DB2_0407_WO_RelatedRecord_CLEAN;1129;RELATED-RECORD;NOMATCH-SR-SRCWO;CNT= 3;2024-12-20-04.37.33.266000
